customer_id,company_name,industry,company_size,country,plan_id,plan_name,monthly_price,max_users,plan_tier_order,signup_date,signup_year,signup_quarter,signup_month,signup_cohort,days_since_signup,month,revenue_year,revenue_month,revenue_yearmonth,base_revenue,discount,discount_pct,expansion_revenue,has_expansion,subscription_revenue,net_revenue,revenue_segment,rev_per_active_user,usage_based_price_sim,active_users,sessions,login_count,feature_usage,top_feature,seat_utilization_pct,low_usage_flag,tenure_months,tenure_band,renewal_status,is_at_risk,is_churned,churn_date,churn_reason,months_to_churn,size_plan_segment
C1001,Company_C1001,EdTech,Medium,USA,P001,Basic,29,5,1,2022-10-16,2022,Q4,10,2022Q4,594,2022-10-01,2022,10,2022-10,29,4.18,14.41,0.0,0,24.82,24.82,Low,24.82,28,1,4,7,5.2,Automation,20.0,1,0,0-3 months,Active,0,0,,Not Churned,,Medium + Basic
C1001,Company_C1001,EdTech,Medium,USA,P001,Basic,29,5,1,2022-10-16,2022,Q4,10,2022Q4,594,2022-11-01,2022,11,2022-11,29,4.73,16.31,0.0,0,24.27,24.27,Low,24.27,28,1,2,3,5.3,Integrations,20.0,1,1,0-3 months,Active,0,0,,Not Churned,,Medium + Basic
C1001,Company_C1001,EdTech,Medium,USA,P001,Basic,29,5,1,2022-10-16,2022,Q4,10,2022Q4,594,2022-12-01,2022,12,2022-12,29,4.44,15.31,0.0,0,24.56,24.56,Low,12.28,36,2,8,12,3.8,Dashboard,40.0,0,2,0-3 months,Active,0,0,,Not Churned,,Medium + Basic
C1001,Company_C1001,EdTech,Medium,USA,P001,Basic,29,5,1,2022-10-16,2022,Q4,10,2022Q4,594,2023-01-01,2023,1,2023-01,29,5.48,18.9,0.0,0,23.52,23.52,Low,23.52,28,1,6,11,5.5,AI Insights,20.0,0,3,0-3 months,Active,0,0,,Not Churned,,Medium + Basic
C1001,Company_C1001,EdTech,Medium,USA,P001,Basic,29,5,1,2022-10-16,2022,Q4,10,2022Q4,594,2023-02-01,2023,2,2023-02,29,6.15,21.21,10.8,1,33.65,44.45,Low,33.65,28,1,4,6,4.2,Integrations,20.0,1,4,4-6 months,Active,0,0,,Not Churned,,Medium + Basic
C1001,Company_C1001,EdTech,Medium,USA,P001,Basic,29,5,1,2022-10-16,2022,Q4,10,2022Q4,594,2023-03-01,2023,3,2023-03,29,4.07,14.03,0.0,0,24.93,24.93,Low,12.46,36,2,14,22,5.4,API Access,40.0,0,5,4-6 months,Active,0,0,,Not Churned,,Medium + Basic
C1001,Company_C1001,EdTech,Medium,USA,P001,Basic,29,5,1,2022-10-16,2022,Q4,10,2022Q4,594,2023-04-01,2023,4,2023-04,29,4.17,14.38,0.0,0,24.83,24.83,Low,24.83,28,1,3,8,2.9,Reports,20.0,1,6,4-6 months,Active,0,0,,Not Churned,,Medium + Basic
C1001,Company_C1001,EdTech,Medium,USA,P001,Basic,29,5,1,2022-10-16,2022,Q4,10,2022Q4,594,2023-05-01,2023,5,2023-05,29,3.96,13.66,47.67,1,72.71,120.38,Low,72.71,28,1,6,17,2.9,Reports,20.0,0,7,7-12 months,Active,0,0,,Not Churned,,Medium + Basic
C1001,Company_C1001,EdTech,Medium,USA,P001,Basic,29,5,1,2022-10-16,2022,Q4,10,2022Q4,594,2023-06-01,2023,6,2023-06,29,4.9,16.9,0.0,0,24.1,24.1,Low,24.1,28,1,3,5,3.1,Data Export,20.0,1,8,7-12 months,Active,0,0,,Not Churned,,Medium + Basic
C1001,Company_C1001,EdTech,Medium,USA,P001,Basic,29,5,1,2022-10-16,2022,Q4,10,2022Q4,594,2023-07-01,2023,7,2023-07,29,4.91,16.93,0.0,0,24.09,24.09,Low,24.09,28,1,2,5,5.7,Automation,20.0,1,9,7-12 months,Active,0,0,,Not Churned,,Medium + Basic
C1001,Company_C1001,EdTech,Medium,USA,P001,Basic,29,5,1,2022-10-16,2022,Q4,10,2022Q4,594,2023-08-01,2023,8,2023-08,29,4.59,15.83,0.0,0,24.41,24.41,Low,24.41,28,1,3,7,4.0,Collaboration,20.0,1,10,7-12 months,Active,0,0,,Not Churned,,Medium + Basic
C1001,Company_C1001,EdTech,Medium,USA,P001,Basic,29,5,1,2022-10-16,2022,Q4,10,2022Q4,594,2023-09-01,2023,9,2023-09,29,4.53,15.62,0.0,0,24.47,24.47,Low,12.24,36,2,7,10,4.8,API Access,40.0,0,11,7-12 months,Active,0,0,,Not Churned,,Medium + Basic
C1001,Company_C1001,EdTech,Medium,USA,P001,Basic,29,5,1,2022-10-16,2022,Q4,10,2022Q4,594,2023-10-01,2023,10,2023-10,29,4.27,14.72,23.24,1,47.97,71.21,Low,23.98,36,2,7,12,2.9,API Access,40.0,0,12,7-12 months,Active,0,0,,Not Churned,,Medium + Basic
C1001,Company_C1001,EdTech,Medium,USA,P001,Basic,29,5,1,2022-10-16,2022,Q4,10,2022Q4,594,2023-11-01,2023,11,2023-11,29,4.9,16.9,0.0,0,24.1,24.1,Low,12.05,36,2,10,19,4.4,Data Export,40.0,0,13,13-24 months,Active,0,0,,Not Churned,,Medium + Basic
C1001,Company_C1001,EdTech,Medium,USA,P001,Basic,29,5,1,2022-10-16,2022,Q4,10,2022Q4,594,2023-12-01,2023,12,2023-12,29,4.41,15.21,0.0,0,24.59,24.59,Low,12.3,36,2,6,12,4.9,Integrations,40.0,0,14,13-24 months,Active,0,0,,Not Churned,,Medium + Basic
C1001,Company_C1001,EdTech,Medium,USA,P001,Basic,29,5,1,2022-10-16,2022,Q4,10,2022Q4,594,2024-01-01,2024,1,2024-01,29,5.85,20.17,0.0,0,23.15,23.15,Low,11.58,36,2,7,11,2.8,Automation,40.0,0,15,13-24 months,Active,0,0,,Not Churned,,Medium + Basic
C1001,Company_C1001,EdTech,Medium,USA,P001,Basic,29,5,1,2022-10-16,2022,Q4,10,2022Q4,594,2024-02-01,2024,2,2024-02,29,5.56,19.17,0.0,0,23.44,23.44,Low,23.44,28,1,6,14,5.4,Dashboard,20.0,0,16,13-24 months,Active,0,0,,Not Churned,,Medium + Basic
C1001,Company_C1001,EdTech,Medium,USA,P001,Basic,29,5,1,2022-10-16,2022,Q4,10,2022Q4,594,2024-03-01,2024,3,2024-03,29,4.23,14.59,0.0,0,24.77,24.77,Low,12.38,36,2,13,38,4.9,AI Insights,40.0,0,17,13-24 months,Active,0,0,,Not Churned,,Medium + Basic
C1001,Company_C1001,EdTech,Medium,USA,P001,Basic,29,5,1,2022-10-16,2022,Q4,10,2022Q4,594,2024-04-01,2024,4,2024-04,29,4.34,14.97,10.15,1,34.81,44.96,Low,17.4,36,2,13,24,4.4,Collaboration,40.0,0,18,13-24 months,Active,0,0,,Not Churned,,Medium + Basic
C1001,Company_C1001,EdTech,Medium,USA,P001,Basic,29,5,1,2022-10-16,2022,Q4,10,2022Q4,594,2024-05-01,2024,5,2024-05,29,3.87,13.34,0.0,0,25.13,25.13,Low,12.56,36,2,9,19,3.2,Reports,40.0,0,19,13-24 months,Active,0,0,,Not Churned,,Medium + Basic
C1001,Company_C1001,EdTech,Medium,USA,P001,Basic,29,5,1,2022-10-16,2022,Q4,10,2022Q4,594,2024-06-01,2024,6,2024-06,29,4.5,15.52,0.0,0,24.5,24.5,Low,24.5,28,1,1,2,3.5,Reports,20.0,1,20,13-24 months,Active,0,0,,Not Churned,,Medium + Basic
C1002,Company_C1002,Healthcare,Large,UK,P003,Business,149,50,3,2024-04-21,2024,Q2,4,2024Q2,41,2024-04-01,2024,4,2024-04,149,24.42,16.39,0.0,0,124.58,124.58,Mid,4.15,260,30,121,330,5.9,Dashboard,60.0,0,0,0-3 months,Active,0,0,,Not Churned,,Large + Business
C1002,Company_C1002,Healthcare,Large,UK,P003,Business,149,50,3,2024-04-21,2024,Q2,4,2024Q2,41,2024-05-01,2024,5,2024-05,149,27.64,18.55,0.0,0,121.36,121.36,Mid,3.91,268,31,202,451,6.2,Integrations,62.0,0,1,0-3 months,Active,0,0,,Not Churned,,Large + Business
C1002,Company_C1002,Healthcare,Large,UK,P003,Business,149,50,3,2024-04-21,2024,Q2,4,2024Q2,41,2024-06-01,2024,6,2024-06,149,26.66,17.89,98.49,1,220.83,319.32,High,10.52,188,21,95,149,5.9,AI Insights,42.0,0,2,0-3 months,Active,0,0,,Not Churned,,Large + Business
C1003,Company_C1003,FinTech,Small,UK,P001,Basic,29,5,1,2022-07-21,2022,Q3,7,2022Q3,681,2022-07-01,2022,7,2022-07,29,1.42,4.9,0.0,0,27.58,27.58,Low,27.58,28,1,4,11,3.9,API Access,20.0,1,0,0-3 months,Active,0,0,,Not Churned,,Small + Basic
C1003,Company_C1003,FinTech,Small,UK,P001,Basic,29,5,1,2022-07-21,2022,Q3,7,2022Q3,681,2022-08-01,2022,8,2022-08,29,1.91,6.59,0.0,0,27.09,27.09,Low,27.09,28,1,3,8,3.5,Data Export,20.0,1,1,0-3 months,Active,0,0,,Not Churned,,Small + Basic
C1003,Company_C1003,FinTech,Small,UK,P001,Basic,29,5,1,2022-07-21,2022,Q3,7,2022Q3,681,2022-09-01,2022,9,2022-09,29,1.18,4.07,0.0,0,27.82,27.82,Low,27.82,28,1,2,4,2.7,Data Export,20.0,1,2,0-3 months,Active,0,0,,Not Churned,,Small + Basic
C1003,Company_C1003,FinTech,Small,UK,P001,Basic,29,5,1,2022-07-21,2022,Q3,7,2022Q3,681,2022-10-01,2022,10,2022-10,29,1.61,5.55,0.0,0,27.39,27.39,Low,27.39,28,1,1,2,2.9,Reports,20.0,1,3,0-3 months,Active,0,0,,Not Churned,,Small + Basic
C1003,Company_C1003,FinTech,Small,UK,P001,Basic,29,5,1,2022-07-21,2022,Q3,7,2022Q3,681,2022-11-01,2022,11,2022-11,29,1.32,4.55,0.0,0,27.68,27.68,Low,27.68,28,1,1,2,2.0,Data Export,20.0,1,4,4-6 months,Active,0,0,,Not Churned,,Small + Basic
C1003,Company_C1003,FinTech,Small,UK,P001,Basic,29,5,1,2022-07-21,2022,Q3,7,2022Q3,681,2022-12-01,2022,12,2022-12,29,1.3,4.48,0.0,0,27.7,27.7,Low,27.7,28,1,3,7,3.4,Collaboration,20.0,1,5,4-6 months,Active,0,0,,Not Churned,,Small + Basic
C1003,Company_C1003,FinTech,Small,UK,P001,Basic,29,5,1,2022-07-21,2022,Q3,7,2022Q3,681,2023-01-01,2023,1,2023-01,29,2.76,9.52,0.0,0,26.24,26.24,Low,26.24,28,1,2,5,3.4,Dashboard,20.0,1,6,4-6 months,Active,0,0,,Not Churned,,Small + Basic
