customer_id,plan_id,month,base_revenue,discount,expansion_revenue,subscription_revenue,tenure_months,renewal_status
C1001,P001,2022-10-01,29,4.18,0.0,24.82,0,Active
C1001,P001,2022-11-01,29,4.73,0.0,24.27,1,Active
C1001,P001,2022-12-01,29,4.44,0.0,24.56,2,Active
C1001,P001,2023-01-01,29,5.48,0.0,23.52,3,Active
C1001,P001,2023-02-01,29,6.15,10.8,33.65,4,Active
C1001,P001,2023-03-01,29,4.07,0.0,24.93,5,Active
C1001,P001,2023-04-01,29,4.17,0.0,24.83,6,Active
C1001,P001,2023-05-01,29,3.96,47.67,72.71,7,Active
C1001,P001,2023-06-01,29,4.9,0.0,24.1,8,Active
C1001,P001,2023-07-01,29,4.91,0.0,24.09,9,Active
C1001,P001,2023-08-01,29,4.59,0.0,24.41,10,Active
C1001,P001,2023-09-01,29,4.53,0.0,24.47,11,Active
C1001,P001,2023-10-01,29,4.27,23.24,47.97,12,Active
C1001,P001,2023-11-01,29,4.9,0.0,24.1,13,Active
C1001,P001,2023-12-01,29,4.41,0.0,24.59,14,Active
C1001,P001,2024-01-01,29,5.85,0.0,23.15,15,Active
C1001,P001,2024-02-01,29,5.56,0.0,23.44,16,Active
C1001,P001,2024-03-01,29,4.23,0.0,24.77,17,Active
C1001,P001,2024-04-01,29,4.34,10.15,34.81,18,Active
C1001,P001,2024-05-01,29,3.87,0.0,25.13,19,Active
C1001,P001,2024-06-01,29,4.5,0.0,24.5,20,Active
C1002,P003,2024-04-01,149,24.42,0.0,124.58,0,Active
C1002,P003,2024-05-01,149,27.64,0.0,121.36,1,Active
C1002,P003,2024-06-01,149,26.66,98.49,220.83,2,Active
C1003,P001,2022-07-01,29,1.42,0.0,27.58,0,Active
C1003,P001,2022-08-01,29,1.91,0.0,27.09,1,Active
C1003,P001,2022-09-01,29,1.18,0.0,27.82,2,Active
C1003,P001,2022-10-01,29,1.61,0.0,27.39,3,Active
C1003,P001,2022-11-01,29,1.32,0.0,27.68,4,Active
C1003,P001,2022-12-01,29,1.3,0.0,27.7,5,Active
C1003,P001,2023-01-01,29,2.76,0.0,26.24,6,Active
C1003,P001,2023-02-01,29,2.54,0.0,26.46,7,Active
C1003,P001,2023-03-01,29,0.92,0.0,28.08,8,Active
C1003,P001,2023-04-01,29,1.38,0.0,27.62,9,Active
C1003,P001,2023-05-01,29,1.18,0.0,27.82,10,Active
C1003,P001,2023-06-01,29,1.84,0.0,27.16,11,Active
C1003,P001,2023-07-01,29,1.52,0.0,27.48,12,Active
C1003,P001,2023-08-01,29,1.05,0.0,27.95,13,Active
C1003,P001,2023-09-01,29,1.68,0.0,27.32,14,Active
C1003,P001,2023-10-01,29,0.98,0.0,28.02,15,Active
C1003,P001,2023-11-01,29,1.65,0.0,27.35,16,Active
C1003,P001,2023-12-01,29,1.81,0.0,27.19,17,Active
C1003,P001,2024-01-01,29,2.8,0.0,26.2,18,Active
C1003,P001,2024-02-01,29,3.2,0.0,25.8,19,Active
C1003,P001,2024-03-01,29,1.13,0.0,27.87,20,Active
C1003,P001,2024-04-01,29,0.94,0.0,28.06,21,Active
C1003,P001,2024-05-01,29,1.32,0.0,27.68,22,Active
C1003,P001,2024-06-01,29,1.48,0.0,27.52,23,Active
C1004,P004,2023-08-01,299,80.32,0.0,218.68,0,Active
C1004,P004,2023-09-01,299,79.97,0.0,219.03,1,Active
C1004,P004,2023-10-01,299,71.59,0.0,227.41,2,Active
C1004,P004,2023-11-01,299,73.49,0.0,225.51,3,Active
C1004,P004,2023-12-01,299,69.19,0.0,229.81,4,Active
C1004,P004,2024-01-01,299,89.7,0.0,209.3,5,Active
C1004,P004,2024-02-01,299,89.7,114.93,324.23,6,Active
C1004,P004,2024-03-01,299,74.14,0.0,224.86,7,Active
C1004,P004,2024-04-01,299,70.77,0.0,228.23,8,Active
C1004,P004,2024-05-01,299,71.08,27.84,255.76,9,Active
C1004,P004,2024-06-01,299,76.94,0.0,222.06,10,Active
C1005,P002,2022-02-01,79,14.45,0.0,64.55,0,Active
C1005,P002,2022-03-01,79,8.37,0.0,70.63,1,Active
C1005,P002,2022-04-01,79,9.78,0.0,69.22,2,Active
C1005,P002,2022-05-01,79,8.91,0.0,70.09,3,Active
C1005,P002,2022-06-01,79,10.2,0.0,68.8,4,Active
C1005,P002,2022-07-01,79,10.45,0.0,68.55,5,Active
C1005,P002,2022-08-01,79,8.18,0.0,70.82,6,Active
C1005,P002,2022-09-01,79,9.66,0.0,69.34,7,Active
C1005,P002,2022-10-01,79,9.64,0.0,69.36,8,Active
C1005,P002,2022-11-01,79,10.61,0.0,68.39,9,Active
C1005,P002,2022-12-01,79,9.54,0.0,69.46,10,Active
C1005,P002,2023-01-01,79,14.75,0.0,64.25,11,Active
C1005,P002,2023-02-01,79,11.89,0.0,67.11,12,Active
C1005,P002,2023-03-01,79,10.11,0.0,68.89,13,Active
C1005,P002,2023-04-01,79,9.76,0.0,69.24,14,Active
C1005,P002,2023-05-01,79,10.37,0.0,68.63,15,Active
C1005,P002,2023-06-01,79,8.26,0.0,70.74,16,Active
C1005,P002,2023-07-01,79,8.37,0.0,70.63,17,Active
