customer_id,month,active_users,sessions,login_count,feature_usage,top_feature
C1001,2022-10-01,1,4,7,5.2,Automation
C1001,2022-11-01,1,2,3,5.3,Integrations
C1001,2022-12-01,2,8,12,3.8,Dashboard
C1001,2023-01-01,1,6,11,5.5,AI Insights
C1001,2023-02-01,1,4,6,4.2,Integrations
C1001,2023-03-01,2,14,22,5.4,API Access
C1001,2023-04-01,1,3,8,2.9,Reports
C1001,2023-05-01,1,6,17,2.9,Reports
C1001,2023-06-01,1,3,5,3.1,Data Export
C1001,2023-07-01,1,2,5,5.7,Automation
C1001,2023-08-01,1,3,7,4.0,Collaboration
C1001,2023-09-01,2,7,10,4.8,API Access
C1001,2023-10-01,2,7,12,2.9,API Access
C1001,2023-11-01,2,10,19,4.4,Data Export
C1001,2023-12-01,2,6,12,4.9,Integrations
C1001,2024-01-01,2,7,11,2.8,Automation
C1001,2024-02-01,1,6,14,5.4,Dashboard
C1001,2024-03-01,2,13,38,4.9,AI Insights
C1001,2024-04-01,2,13,24,4.4,Collaboration
C1001,2024-05-01,2,9,19,3.2,Reports
C1001,2024-06-01,1,1,2,3.5,Reports
C1002,2024-04-01,30,121,330,5.9,Dashboard
C1002,2024-05-01,31,202,451,6.2,Integrations
C1002,2024-06-01,21,95,149,5.9,AI Insights
C1003,2022-07-01,1,4,11,3.9,API Access
C1003,2022-08-01,1,3,8,3.5,Data Export
C1003,2022-09-01,1,2,4,2.7,Data Export
C1003,2022-10-01,1,1,2,2.9,Reports
C1003,2022-11-01,1,1,2,2.0,Data Export
C1003,2022-12-01,1,3,7,3.4,Collaboration
C1003,2023-01-01,1,2,5,3.4,Dashboard
C1003,2023-02-01,1,3,6,3.5,AI Insights
C1003,2023-03-01,1,2,4,3.1,Dashboard
C1003,2023-04-01,1,3,7,1.8,Reports
C1003,2023-05-01,1,1,2,3.7,Dashboard
C1003,2023-06-01,1,3,5,2.2,Automation
C1003,2023-07-01,1,2,5,3.2,Data Export
C1003,2023-08-01,1,2,5,1.7,Dashboard
C1003,2023-09-01,1,2,4,3.6,Dashboard
C1003,2023-10-01,1,4,8,4.0,API Access
C1003,2023-11-01,1,1,2,3.6,Integrations
C1003,2023-12-01,1,1,2,3.7,AI Insights
C1003,2024-01-01,1,2,5,2.9,Dashboard
C1003,2024-02-01,1,3,7,3.3,Reports
C1003,2024-03-01,1,3,8,2.0,Dashboard
C1003,2024-04-01,1,4,9,1.8,Reports
C1003,2024-05-01,1,2,4,2.7,Reports
C1003,2024-06-01,1,3,5,3.7,Reports
C1004,2023-08-01,112,624,1606,3.7,Integrations
C1004,2023-09-01,101,710,1082,3.9,AI Insights
